api_id,endpoint,method,version,status_hint,auth_type,data_fields,has_pii,in_swagger,last_called_date,daily_avg_calls,created_date,last_modified,owner_git_user,team,environment,last_commit_msg,risk_score,deprecated_flag,classification,days_silent,severity,recommended_action,pii_fields_found,git_author,git_last_commit,git_message,ml_predicted_class,ml_confidence,ml_anomaly_score,ml_risk_score,ml_rule_agreement
UBI-API-0078,/api/v2/employees/get,PUT,v1,zombie,jwt,address,0,1,2025-07-12,0,2023-09-06,2025-05-11,suresh.bose,Loans,dev,deprecation notice added,35,0,Zombie,317,Medium,"Schedule decommission — raise Jira ticket, notify owner",,suresh.bose,2025-04-29,deprecation notice added,Zombie,0.975,58.3,65.4,1
UBI-API-0079,/api/v2/statements/update,POST,v2,shadow,oauth2,transaction_id|name|account_number,1,0,2026-04-29,33,2024-06-13,2025-02-03,vivek.gupta,Security,staging,fix auth bug,37,0,Shadow,26,Medium,"Immediate audit — undocumented endpoint, document or block",account_number,vivek.gupta,2025-01-18,fix auth bug,Shadow,0.958,66.3,69.3,1
UBI-API-0080,/internal/v1/neft/get,DELETE,legacy,shadow,mtls,branch_id,0,0,2026-04-17,41,2023-09-25,2025-09-20,ananya.sharma,Loans,prod,hotfix prod issue,20,0,Shadow,38,Low,"Immediate audit — undocumented endpoint, document or block",,ananya.sharma,2025-09-07,hotfix prod issue,Shadow,0.975,65.3,65.9,1
UBI-API-0081,/legacy/v1/statements/get,DELETE,legacy,zombie,none,phone|employee_id|amount,0,1,2024-06-29,0,2023-09-17,2025-03-06,rohit.verma,Loans,prod,update response schema,65,0,Zombie,695,High,"Schedule decommission — raise Jira ticket, notify owner",,rohit.verma,2025-02-23,update response schema,Zombie,0.975,62.0,73.2,1
UBI-API-0082,/api/v3/beneficiaries/update,PUT,v3,active,api_key,loan_amount,0,1,2026-05-13,2519,2025-01-30,2026-03-23,rohit.verma,Digital Channels,dev,update response schema,33,0,Active,12,Medium,No action needed — healthy endpoint,,rohit.verma,2026-02-23,update response schema,Active,0.975,53.7,62.7,1
UBI-API-0083,/api/v2/transactions/create,PUT,legacy,active,api_key,upi_id|email,0,1,2026-05-03,5279,2024-08-18,2025-07-14,rohit.verma,Payments,staging,refactor logic,30,0,Active,22,Medium,No action needed — healthy endpoint,,rohit.verma,2025-06-26,refactor logic,Active,0.983,45.7,58.4,1
UBI-API-0084,/api/v2/ifsc/get,DELETE,legacy,shadow,jwt,dob|nominee_details|balance,1,0,2026-04-25,24,2021-09-04,2021-12-29,arjun.mehta,Digital Channels,prod,deprecation notice added,65,0,Shadow,30,High,"Immediate audit — undocumented endpoint, document or block",balance|nominee_details|dob,arjun.mehta,2021-12-22,deprecation notice added,Shadow,0.908,52.2,66.4,1
UBI-API-0085,/api/v3/loans/submit,GET,legacy,borderline,basic_auth,loan_amount|ifsc_code|employee_id|balance|interest_rate,1,1,2026-03-23,7481,2022-04-23,2022-08-27,suresh.bose,Security,prod,hotfix prod issue,42,0,Borderline,63,Medium,Monitor closely — review with team within 7 days,balance,suresh.bose,2022-08-13,hotfix prod issue,Borderline,0.95,41.2,57.5,1
UBI-API-0086,/api/v1/beneficiaries/approve,GET,v2,active,basic_auth,balance|pan_number,1,1,2026-05-13,6447,2023-07-22,2025-02-20,vivek.gupta,Loans,dev,add rate limiting,48,0,Active,12,Medium,No action needed — healthy endpoint,pan_number|balance,vivek.gupta,2025-02-14,add rate limiting,Active,0.992,30.8,54.8,1
UBI-API-0087,/legacy/v1/beneficiaries/submit,PATCH,v3,zombie,none,customer_id|transaction_id|name,0,1,2024-06-15,0,2022-04-22,2024-03-04,meera.krishnan,Security,staging,deprecation notice added,65,0,Zombie,709,High,"Schedule decommission — raise Jira ticket, notify owner",,meera.krishnan,2024-02-29,deprecation notice added,Zombie,0.983,79.6,82.3,1
UBI-API-0088,/api/v2/neft/delete,DELETE,legacy,shadow,api_key,customer_id|address|interest_rate|ifsc_code|transaction_id,0,0,2026-04-21,24,2023-06-30,2023-08-06,priya.iyer,Security,dev,add endpoint,45,0,Shadow,34,Medium,"Immediate audit — undocumented endpoint, document or block",,priya.iyer,2023-07-09,add endpoint,Shadow,0.875,98.2,84.4,1
UBI-API-0089,/api/v3/kyc/update,PUT,v1,active,jwt,pan_number|email,1,1,2026-05-03,9885,2023-05-09,2024-02-01,priya.iyer,Core Banking,prod,add endpoint,23,0,Active,22,Low,No action needed — healthy endpoint,pan_number,priya.iyer,2024-01-12,add endpoint,Active,0.975,24.8,46.2,1
UBI-API-0090,/legacy/v1/payments/create,POST,legacy,zombie,mtls,phone|employee_id|balance|branch_id|amount,1,1,2025-06-28,0,2024-06-16,2025-02-15,deepak.nair,Loans,dev,deprecation notice added,37,0,Zombie,331,Medium,"Schedule decommission — raise Jira ticket, notify owner",balance,deepak.nair,2025-01-18,deprecation notice added,Zombie,0.992,43.8,59.0,1
UBI-API-0091,/legacy/v1/aadhaar/export,PATCH,v2,shadow,jwt,address|ifsc_code|loan_amount|interest_rate,0,0,2026-03-29,42,2022-11-13,2023-02-27,kavya.reddy,Payments,prod,update docs,30,0,Shadow,57,Medium,"Immediate audit — undocumented endpoint, document or block",,kavya.reddy,2023-02-11,update docs,Shadow,0.992,60.0,65.8,1
UBI-API-0092,/legacy/v1/neft/sync,GET,v1,active,mtls,name|address|customer_id|phone|dob,1,1,2026-04-25,5827,2022-09-16,2025-03-27,vivek.gupta,Digital Channels,prod,merge feature branch,22,0,Borderline,30,Low,Monitor closely — review with team within 7 days,dob,vivek.gupta,2025-03-13,merge feature branch,Borderline,0.825,15.6,36.9,1
UBI-API-0093,/api/v1/upi/list,DELETE,v1,active,basic_auth,pan_number|ifsc_code|customer_id,1,1,2026-04-28,2492,2025-02-09,2025-07-30,arjun.mehta,Payments,prod,hotfix prod issue,40,0,Active,27,Medium,No action needed — healthy endpoint,pan_number,arjun.mehta,2025-07-04,hotfix prod issue,Active,0.925,13.4,42.4,1
UBI-API-0094,/api/v2/customers/delete,DELETE,v3,active,mtls,credit_score|employee_id,1,1,2026-05-18,8747,2022-04-21,2025-05-18,suresh.bose,Core Banking,prod,initial commit,14,0,Active,7,Low,No action needed — healthy endpoint,credit_score,arjun.mehta,2024-06-25,deprecation notice added,Active,0.983,32.7,48.6,1
UBI-API-0095,/legacy/v1/transactions/delete,POST,v1,active,oauth2,balance,1,1,2026-05-21,8882,2024-04-07,2025-12-09,deepak.nair,Loans,dev,refactor logic,19,0,Active,4,Low,No action needed — healthy endpoint,balance,deepak.nair,2025-11-29,refactor logic,Active,0.983,50.0,58.3,1
UBI-API-0096,/api/v1/employees/fetch,POST,legacy,active,mtls,address|branch_id,0,1,2026-05-19,1502,2025-03-10,2026-02-15,ananya.sharma,Digital Channels,prod,update response schema,9,0,Active,6,Low,No action needed — healthy endpoint,,ananya.sharma,2026-01-21,update response schema,Active,0.967,26.4,44.0,1
UBI-API-0097,/internal/v1/neft/get,PATCH,v3,borderline,basic_auth,loan_amount|interest_rate|account_number|ifsc_code|credit_score,1,1,2026-03-08,1206,2021-07-22,2023-07-23,ananya.sharma,Security,staging,hotfix prod issue,54,0,Borderline,78,High,Monitor closely — review with team within 7 days,account_number|credit_score,ananya.sharma,2025-09-07,hotfix prod issue,Borderline,0.842,47.3,59.7,1
UBI-API-0098,/api/v3/pan-verify/approve,GET,legacy,active,basic_auth,email|balance|amount,1,1,2026-05-04,1133,2022-06-27,2023-03-30,meera.krishnan,KYC & Compliance,prod,refactor logic,41,0,Active,21,Medium,No action needed — healthy endpoint,balance,meera.krishnan,2023-03-13,refactor logic,Active,0.933,0.0,36.2,1
UBI-API-0099,/legacy/v1/customers/delete,POST,legacy,active,none,balance|transaction_id,1,1,2026-05-16,3231,2021-09-01,2025-11-21,sneha.patel,Digital Channels,staging,add rate limiting,59,0,Active,9,High,No action needed — healthy endpoint,balance,sneha.patel,2025-11-20,add rate limiting,Active,1.0,23.1,53.4,1
UBI-API-0100,/api/v3/neft/list,PUT,v3,shadow,oauth2,amount,0,0,2026-05-12,32,2024-03-31,2026-03-09,kavya.reddy,Loans,staging,merge feature branch,25,0,Shadow,13,Medium,"Immediate audit — undocumented endpoint, document or block",,kavya.reddy,2026-03-05,merge feature branch,Shadow,0.958,74.5,71.0,1
